Date,x_Oil,x_DXY,x_VIX,y_EM_Spread,x_HY_Spread,EM_Spread_raw,EM_Spread_prev,x_Oil_chg,x_DXY_chg,x_VIX_chg,y_EM_Spread_chg,x_HY_Spread_chg,x_Oil_carry_rtn,x_Oil_price_rtn,x_Oil_total_rtn,x_DXY_carry_rtn,x_DXY_price_rtn,x_DXY_total_rtn,x_VIX_carry_rtn,x_VIX_price_rtn,x_VIX_total_rtn,y_EM_Spread_carry_rtn,y_EM_Spread_price_rtn,y_EM_Spread_total_rtn,x_HY_Spread_carry_rtn,x_HY_Spread_price_rtn,x_HY_Spread_total_rtn,y_EM_Spread_pred,y_EM_Spread_resid,y_EM_Spread_pred_v2,y_EM_Spread_pred_val_v2,x_Oil_total_rtn_coeff,x_DXY_total_rtn_coeff,x_VIX_total_rtn_coeff,x_HY_Spread_total_rtn_coeff,y_EM_Spread_pred_val,y_EM_Spread_resid_val,y_EM_Spread_resid_val_v2,EM_Spread_Actual,y_EM_Spread_resid_v2,Pred_dir,y_EM_Spread_chg_abs
2010-12-07,88.69,79.857,17.99,284,5.54,284,284.0,1.6299999999999955,2.8299999999999983,-0.3000000000000007,0.0,-0.019999999999999574,0.0,0.018722719963243595,0.018722719963243595,0.0,0.03674036376854861,0.03674036376854861,0.0,-0.016402405686167354,-0.016402405686167354,0.002888888888888889,-0.0,0.002888888888888889,0.003,0.0007999999999999829,0.003799999999999983,0,0,-0.004230261615054159,0,0.03696396344654756,-0.10049090550903447,-0.03233776198767577,0.296899123742538,292.4605232301083,-8.460523230108322,8.460523230108322,0.0,0.004230261615054159,0,0.0
2011-01-05,90.3,80.258,17.02,265,4.95,265,284.0,1.6099999999999994,0.40099999999999625,-0.9699999999999989,-19.0,-0.5899999999999999,0.0,0.01815311760063132,0.01815311760063132,0.0,0.00502147588814994,0.00502147588814994,0.0,-0.053918843802112204,-0.053918843802112204,0.002888888888888889,0.0095,0.012388888888888889,0.003,0.023599999999999996,0.026599999999999995,0,0,0.006918641056624635,0,0.03696396344654756,-0.10049090550903447,-0.03233776198767577,0.296899123742538,270.1627178867507,-5.162717886750727,5.162717886750727,0.0095,0.0025813589433753645,1,19.0
2011-02-03,90.54,77.748,16.69,276,4.66,276,265.0,0.2400000000000091,-2.509999999999991,-0.3299999999999983,11.0,-0.29000000000000004,0.0,0.0026578073089702503,0.0026578073089702503,0.0,-0.031274140895611535,-0.031274140895611535,0.0,-0.019388954171562722,-0.019388954171562722,0.002888888888888889,-0.0055,-0.0026111111111111105,0.003,0.011600000000000001,0.014600000000000002,0,0,0.005313843532775989,0,0.03696396344654756,-0.10049090550903447,-0.03233776198767577,0.296899123742538,254.37231293444802,21.62768706555198,21.62768706555198,-0.0055,0.010813843532775988,0,11.0
2011-03-04,104.42,76.4,19.06,280,4.51,280,276.0,13.879999999999995,-1.347999999999999,2.3699999999999974,4.0,-0.15000000000000036,0.0,0.1533024077755687,0.1533024077755687,0.0,-0.017338066574059785,-0.017338066574059785,0.0,0.1420011983223486,0.1420011983223486,0.002888888888888889,-0.002,0.0008888888888888891,0.003,0.006000000000000014,0.009000000000000015,0,0,0.002600184878568145,0,0.03696396344654756,-0.10049090550903447,-0.03233776198767577,0.296899123742538,270.7996302428637,9.200369757136286,9.200369757136286,-0.002,0.0046001848785681455,0,4.0
2011-04-01,107.94,75.833,17.4,274,4.6,274,280.0,3.519999999999996,-0.5670000000000073,-1.6600000000000001,-6.0,0.08999999999999986,0.0,0.03371001723807687,0.03371001723807687,0.0,-0.007421465968586505,-0.007421465968586505,0.0,-0.08709338929695698,-0.08709338929695698,0.002888888888888889,0.003,0.00588888888888889,0.003,-0.0035999999999999943,-0.0005999999999999942,0,0,0.001741222611009076,0,0.03696396344654756,-0.10049090550903447,-0.03233776198767577,0.296899123742538,276.51755477798184,-2.517554777981843,2.517554777981843,0.003,0.001258777388990924,1,6.0
2011-05-02,113.52,72.95100000000001,15.99,281,4.59,281,274.0,5.579999999999998,-2.881999999999991,-1.4099999999999984,7.0,-0.009999999999999787,0.0,0.05169538632573656,0.05169538632573656,0.0,-0.03800456265741814,-0.03800456265741814,0.0,-0.08103448275862057,-0.08103448275862057,0.002888888888888889,-0.0035,-0.0006111111111111109,0.003,0.00039999999999999145,0.0033999999999999916,0,0,0.006471021233496892,0,0.03696396344654756,-0.10049090550903447,-0.03233776198767577,0.296899123742538,261.05795753300623,19.94204246699377,19.94204246699377,-0.0035,0.009971021233496892,0,7.0
2011-05-31,102.7,74.638,15.45,298,4.92,298,281.0,-10.819999999999993,1.6869999999999976,-0.5400000000000009,17.0,0.33000000000000007,0.0,-0.0953136011275546,-0.0953136011275546,0.0,0.02312511137612905,0.02312511137612905,0.0,-0.03377110694183871,-0.03377110694183871,0.002888888888888889,-0.0085,-0.005611111111111112,0.003,-0.013200000000000003,-0.010200000000000004,0,0,-0.010672209782939477,0,0.03696396344654756,-0.10049090550903447,-0.03233776198767577,0.296899123742538,302.344419565879,-4.3444195658789795,4.3444195658789795,-0.0085,0.0021722097829394767,1,17.0
2011-06-28,92.89,75.063,19.17,307,5.5,307,298.0,-9.810000000000002,0.42499999999999716,3.7200000000000024,9.0,0.5800000000000001,0.0,-0.09552093476144108,-0.09552093476144108,0.0,0.0056941504327554515,0.0056941504327554515,0.0,0.24077669902912646,0.24077669902912646,0.002888888888888889,-0.0045,-0.0016111111111111105,0.003,-0.023200000000000002,-0.020200000000000003,0,0,-0.02077547344786451,0,0.03696396344654756,-0.10049090550903447,-0.03233776198767577,0.296899123742538,339.550946895729,-32.550946895729,32.550946895729,-0.0045,0.016275473447864508,1,9.0
2011-07-27,97.4,74.087,22.98,300,5.23,300,307.0,4.510000000000005,-0.9759999999999991,3.8099999999999987,-7.0,-0.2699999999999996,0.0,0.04855205081278946,0.04855205081278946,0.0,-0.01300241130783475,-0.01300241130783475,0.0,0.19874804381846634,0.19874804381846634,0.002888888888888889,0.0035,0.006388888888888889,0.003,0.010799999999999983,0.013799999999999982,0,0,-0.0021174476001354953,0,0.03696396344654756,-0.10049090550903447,-0.03233776198767577,0.296899123742538,311.234895200271,-11.234895200271012,11.234895200271012,0.0035,0.005617447600135495,0,7.0
2011-08-24,84.98,74.012,35.9,375,7.31,375,300.0,-12.420000000000002,-0.07500000000000284,12.919999999999998,75.0,2.079999999999999,0.0,-0.12751540041067766,-0.12751540041067766,0.0,-0.0010123233495755724,-0.0010123233495755724,0.0,0.5622280243690165,0.5622280243690165,0.002888888888888889,-0.0375,-0.034611111111111106,0.003,-0.08319999999999997,-0.08019999999999997,0,0,-0.04949313995747224,0,0.03696396344654756,-0.10049090550903447,-0.03233776198767577,0.296899123742538,398.9862799149445,-23.986279914944475,23.986279914944475,-0.0375,0.01199313995747224,1,75.0
